cell_type,gene,n_cells,mean_expr,pct_expressing
MAST cells,MZB1,3396,0.02568362768795692,1.5606595995288575
MAST cells,NAPSA,3396,0.15715250787067767,9.422850412249705
MAST cells,NKG7,3396,0.111667938678996,6.978798586572438
MAST cells,PECAM1,3396,0.02046859887559011,1.678445229681979
MAST cells,PLK1,3396,0.0030723574199879988,0.23557126030624262
MAST cells,PTPRC,3396,0.40961591720540164,26.383981154299175
MAST cells,SFTPC,3396,1.3293514081555868,56.00706713780919
MAST cells,STEAP1,3396,0.001178081994043088,0.08833922261484099
MAST cells,TK1,3396,0.007657851643364121,0.5005889281507656
MAST cells,TOP2A,3396,0.008451410643409867,0.5005889281507656
MAST cells,VWF,3396,0.00699103512228923,0.47114252061248524
Myeloid cells,C1QTNF6,42245,0.0028173319555567116,0.4402887915729672
Myeloid cells,KNL1,42245,0.009135132898503614,1.4581607290803644
Myeloid cells,CD14,42245,1.154199731228724,64.19457924014677
Myeloid cells,CD3D,42245,0.07968851826730426,10.112439341933957
Myeloid cells,CD3E,42245,0.038955054736340214,4.499940821398982
Myeloid cells,CD4,42245,0.486447260322846,48.51698425849213
Myeloid cells,CD68,42245,2.024418312498473,87.50147946502544
Myeloid cells,CD79A,42245,0.02133896497666131,2.4831340987099066
Myeloid cells,CD8A,42245,0.01522852152970704,1.9955024263226417
Myeloid cells,CLDN5,42245,0.00969204074258625,1.15990057995029
Myeloid cells,COL1A1,42245,0.024934952189702254,2.840572848857853
Myeloid cells,DCN,42245,0.060211234789864634,6.670611906734525
Myeloid cells,DEPDC1B,42245,0.005089328256445551,0.8071961178837732
Myeloid cells,DKK1,42245,0.001081287125202056,0.1491300745650373
Myeloid cells,ECT2,42245,0.01758146026270602,2.7908628240028404
Myeloid cells,EPCAM,42245,0.048373354431157894,4.968635341460527
Myeloid cells,ERO1A,42245,0.23964223274829366,26.95466919162031
Myeloid cells,FCGR3A,42245,1.3034869075366087,71.08533554266778
Myeloid cells,GNLY,42245,0.10318195084603972,12.586104864481005
Myeloid cells,KRT18,42245,0.0949338459636647,10.71606107231625
Myeloid cells,KRT19,42245,0.08631750059804384,8.928867321576519
Myeloid cells,LYZ,42245,2.820369988211437,91.25340276955852
Myeloid cells,MARCO,42245,1.2957426755232975,56.82802698544206
Myeloid cells,MKI67,42245,0.03319152463741282,3.09622440525506
Myeloid cells,MS4A1,42245,0.010947216636000677,1.2687892058231742
Myeloid cells,MZB1,42245,0.02236176706140245,2.355308320511303
Myeloid cells,NAPSA,42245,0.07893107984492717,9.73606343946029
Myeloid cells,NKG7,42245,0.18516152385075862,20.37874304651438
Myeloid cells,PECAM1,42245,0.49960400592485044,48.20215410107705
Myeloid cells,PLK1,42245,0.014473800182008596,1.6783051248668481
Myeloid cells,PTPRC,42245,0.7785847203298667,65.2645283465499
Myeloid cells,SFTPC,42245,0.6937372484529427,45.26216120250917
Myeloid cells,STEAP1,42245,0.005678230685887538,0.6793703396851698
Myeloid cells,TK1,42245,0.06528928729104032,6.504911823884483
Myeloid cells,TOP2A,42245,0.032569636887479186,3.032311516155758
Myeloid cells,VWF,42245,0.00877322488570371,1.1906734524795834
T/NK cells,C1QTNF6,64403,0.009230981179344962,0.652143533686319
T/NK cells,KNL1,64403,0.007780158707654082,0.6366163066937875
T/NK cells,CD14,64403,0.022131560922508054,1.5434063630576216
T/NK cells,CD3D,64403,2.0003714719692813,84.68549601726629
T/NK cells,CD3E,64403,1.626755180780076,78.62056115398352
T/NK cells,CD4,64403,0.17758562993932042,12.221480365821467
T/NK cells,CD68,64403,0.05820432970327106,3.8662795211403194
T/NK cells,CD79A,64403,0.05494352837684313,3.8026178904709407
T/NK cells,CD8A,64403,0.48321340895722975,23.03153579802183
T/NK cells,CLDN5,64403,0.004856850302798591,0.31209726254988124
T/NK cells,COL1A1,64403,0.015481869564707587,1.0232442588078194
T/NK cells,DCN,64403,0.027153001606510706,1.681598683291151
T/NK cells,DEPDC1B,64403,0.004915394625340492,0.47358042327220784
T/NK cells,DKK1,64403,0.0004252088337577893,0.03105445398506281
T/NK cells,ECT2,64403,0.004748409439787917,0.3959442883095508
T/NK cells,EPCAM,64403,0.022472077837565798,1.4083194882225984
T/NK cells,ERO1A,64403,0.09605024108085902,6.774529136841452
T/NK cells,FCGR3A,64403,0.2501313947713432,11.721503656661957
T/NK cells,GNLY,64403,0.6962398796636544,20.249056720960205
T/NK cells,KRT18,64403,0.07289812012736814,4.703197056037762
T/NK cells,KRT19,64403,0.05853596659949916,3.561945872086704
T/NK cells,LYZ,64403,0.16430200088375663,10.657888607673556
T/NK cells,MARCO,64403,0.04760420321310685,3.027809263543624
T/NK cells,MKI67,64403,0.022574233698524404,1.4968246820800273
T/NK cells,MS4A1,64403,0.03746558386119732,2.478145428008012
T/NK cells,MZB1,64403,0.043326582750543255,3.0045184230548267
